AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Business & Society (BA) ,Social Sciences,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses
Children Childhood & Youth (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U 5 additional 4U or 4M courses
Cities Regions Planning (BES) ,Social Sciences,York University,Mid to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses
Concurrent Education: Environmental Studies (BEd) ,Social Sciences,York University,High 70s to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 12 2023. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI.
Concurrent Education: Liberal Arts & Professional Studies (BEd) ,Social Sciences,York University,High 70s to mid-80s,Class-based experiential education,In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 15 2024. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI.
Criminology (BA) ,Social Sciences,York University,Low 80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Data Science (BA) ,Social Sciences,York University,High 70s to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U 3 additional 4U or M courses
Data Science (BSc) ,Social Sciences,York University,High 70s to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U SBI4U or SCH4U or SPH4U 2 additional 4U or 4M courses
Economics (BA) ,Social Sciences,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U 4 additional 4U/M courses (MCV4U recommended)
Environmental Arts & Justice (BES) ,Social Sciences,York University,Mid-70s,Embedded community engagement/volunteerism/partnership,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Financial & Business Economics (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U 4 additional 4U/M courses (MCV4U recommended)
Global Geography (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Global Health (BA) ,Social Sciences,York University,Mid- to High 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U SBI4U or SCH4U or SPH4U Three additional 4U or 4M courses
Global Health (BSc) ,Social Sciences,York University,High 70s,Faculty research opportunity,Ontario Secondary School Diploma (OSSD) ENG4U 4U math SCH4U or SPH4U Three additional 4U or 4M courses
Global Political Studies (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Health Policy Management & Digital Health (BHS) ,Social Sciences,York University,Mid to high 70s,Field placement,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses 4U math recommended
Health & Society (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Health Studies (BHS) ,Social Sciences,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses 4U math recommended
Human Rights & Equity Studies (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
International Development Studies (BA iBA) ,Social Sciences,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Law & Society (BA) ,Social Sciences,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Political Science (BA iBA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Public Administration (BPA) ,Social Sciences,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 4U Math 4 additional 4U/M courses
Social Work (BSW Direct Entry) ,Social Sciences,York University,Mid-80s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Sociology (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Sustainable Environmental Management (BES) ,Social Sciences,York University,Mid-70s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U 5 additional 4U or 4M courses
Undeclared Major (BA/BES) ,Social Sciences,York University,Mid- to high 70s,Class-based experiential education,BA Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses BES Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Work & Labour Studies (BA) ,Social Sciences,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Business Economics (Courses in English or French as per student's preference) ,Social Sciences,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,OSSD or equivalent A minimum of six 4U/M courses including ENG4U (French-language high school applicants can present FRA4U) A combination of U/M courses are accepted 4U French recommended for Anglophones MHF4U and MCV4U recommended
Economics (Courses in English or French as per student's preference) ,Social Sciences,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses 4U French recommended MHF4U recommended MCV4U recommended
International BA (iBA Bilingual) ,Social Sciences,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,Find admission requirements.
International Studies & Business Administration (Dual Degree) ,Social Sciences,York University  -  Glendon Campus,80s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (French-language school applicants may present FRA4U instead of ENG4U) MHF4U MCV4U or MDM4U No prerequisite below 70% 3 additional 4U/M courses 4U French required A Bilingual Digital supplementary application is also required.
